split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
10,0.008580446243286133,7.462501525878906e-05,0.059920549392700195,0.0003476142883300781,1581696707.6673694,1581696707.6759498,1581696707.6759539,1581696707.6760285,1581696707.676032,1581696707.7359526,1581696707.735957,1581696707.7363045,2020-02-14 11:11:47.667369,2020-02-14 11:11:47.675951,2020-02-14 11:11:47.675954,2020-02-14 11:11:47.676029,2020-02-14 11:11:47.676032,2020-02-14 11:11:47.735954,2020-02-14 11:11:47.735957,2020-02-14 11:11:47.736305
11,0.007756471633911133,7.748603820800781e-05,0.08858442306518555,0.0004227161407470703,1581696707.7363584,1581696707.7441149,1581696707.7441194,1581696707.744197,1581696707.7442005,1581696707.832785,1581696707.832789,1581696707.8332117,2020-02-14 11:11:47.736359,2020-02-14 11:11:47.744116,2020-02-14 11:11:47.744119,2020-02-14 11:11:47.744198,2020-02-14 11:11:47.744200,2020-02-14 11:11:47.832786,2020-02-14 11:11:47.832789,2020-02-14 11:11:47.833213
12,0.0091094970703125,8.940696716308594e-05,0.09632420539855957,0.0004322528839111328,1581696707.8332632,1581696707.8423727,1581696707.8423767,1581696707.842466,1581696707.84247,1581696707.9387941,1581696707.9387984,1581696707.9392307,2020-02-14 11:11:47.833263,2020-02-14 11:11:47.842374,2020-02-14 11:11:47.842377,2020-02-14 11:11:47.842467,2020-02-14 11:11:47.842470,2020-02-14 11:11:47.938796,2020-02-14 11:11:47.938798,2020-02-14 11:11:47.939232
13,0.008611679077148438,0.00010275840759277344,0.09673047065734863,0.0004324913024902344,1581696707.939282,1581696707.9478936,1581696707.9478981,1581696707.948001,1581696707.948005,1581696708.0447354,1581696708.0447395,1581696708.045172,2020-02-14 11:11:47.939282,2020-02-14 11:11:47.947895,2020-02-14 11:11:47.947898,2020-02-14 11:11:47.948002,2020-02-14 11:11:47.948005,2020-02-14 11:11:48.044737,2020-02-14 11:11:48.044739,2020-02-14 11:11:48.045173
14,0.008601188659667969,9.036064147949219e-05,0.09666943550109863,0.00043392181396484375,1581696708.0452223,1581696708.0538235,1581696708.0538278,1581696708.0539181,1581696708.0539217,1581696708.1505911,1581696708.1505954,1581696708.1510293,2020-02-14 11:11:48.045222,2020-02-14 11:11:48.053825,2020-02-14 11:11:48.053828,2020-02-14 11:11:48.053919,2020-02-14 11:11:48.053922,2020-02-14 11:11:48.150592,2020-02-14 11:11:48.150595,2020-02-14 11:11:48.151030
15,0.008575201034545898,8.654594421386719e-05,0.08938384056091309,0.00037407875061035156,1581696708.151084,1581696708.1596591,1581696708.1596637,1581696708.1597502,1581696708.159754,1581696708.2491379,1581696708.249142,1581696708.249516,2020-02-14 11:11:48.151084,2020-02-14 11:11:48.159660,2020-02-14 11:11:48.159663,2020-02-14 11:11:48.159751,2020-02-14 11:11:48.159754,2020-02-14 11:11:48.249139,2020-02-14 11:11:48.249142,2020-02-14 11:11:48.249517
16,0.008594751358032227,7.62939453125e-05,0.088043212890625,0.00036406517028808594,1581696708.249568,1581696708.2581627,1581696708.258167,1581696708.2582433,1581696708.258247,1581696708.34629,1581696708.3462946,1581696708.3466587,2020-02-14 11:11:48.249568,2020-02-14 11:11:48.258164,2020-02-14 11:11:48.258167,2020-02-14 11:11:48.258244,2020-02-14 11:11:48.258247,2020-02-14 11:11:48.346291,2020-02-14 11:11:48.346294,2020-02-14 11:11:48.346660
17,0.008665323257446289,9.250640869140625e-05,0.08640265464782715,0.0003509521484375,1581696708.3467164,1581696708.3553817,1581696708.355386,1581696708.3554785,1581696708.3554823,1581696708.441885,1581696708.4418893,1581696708.4422402,2020-02-14 11:11:48.346717,2020-02-14 11:11:48.355383,2020-02-14 11:11:48.355386,2020-02-14 11:11:48.355479,2020-02-14 11:11:48.355482,2020-02-14 11:11:48.441886,2020-02-14 11:11:48.441889,2020-02-14 11:11:48.442241
18,0.008603572845458984,8.249282836914062e-05,0.08654999732971191,0.0003952980041503906,1581696708.442291,1581696708.4508946,1581696708.4508986,1581696708.4509811,1581696708.4509847,1581696708.5375347,1581696708.5375388,1581696708.537934,2020-02-14 11:11:48.442291,2020-02-14 11:11:48.450896,2020-02-14 11:11:48.450899,2020-02-14 11:11:48.450982,2020-02-14 11:11:48.450985,2020-02-14 11:11:48.537536,2020-02-14 11:11:48.537539,2020-02-14 11:11:48.537935
19,0.008595943450927734,8.273124694824219e-05,0.08844399452209473,0.00038909912109375,1581696708.5379858,1581696708.5465817,1581696708.546586,1581696708.5466688,1581696708.5466723,1581696708.6351163,1581696708.6351204,1581696708.6355095,2020-02-14 11:11:48.537986,2020-02-14 11:11:48.546583,2020-02-14 11:11:48.546586,2020-02-14 11:11:48.546669,2020-02-14 11:11:48.546672,2020-02-14 11:11:48.635117,2020-02-14 11:11:48.635120,2020-02-14 11:11:48.635510
