split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
10,0.00764775276184082,7.82012939453125e-05,0.009327411651611328,0.00013136863708496094,1581696745.4060607,1581696745.4137084,1581696745.4137127,1581696745.413791,1581696745.4137945,1581696745.423122,1581696745.423126,1581696745.4232574,2020-02-14 11:12:25.406061,2020-02-14 11:12:25.413710,2020-02-14 11:12:25.413712,2020-02-14 11:12:25.413792,2020-02-14 11:12:25.413794,2020-02-14 11:12:25.423123,2020-02-14 11:12:25.423126,2020-02-14 11:12:25.423258
11,0.007640838623046875,7.033348083496094e-05,0.009314775466918945,0.00012993812561035156,1581696745.4233077,1581696745.4309485,1581696745.4309528,1581696745.4310231,1581696745.4310267,1581696745.4403415,1581696745.4403455,1581696745.4404755,2020-02-14 11:12:25.423308,2020-02-14 11:12:25.430950,2020-02-14 11:12:25.430953,2020-02-14 11:12:25.431024,2020-02-14 11:12:25.431026,2020-02-14 11:12:25.440343,2020-02-14 11:12:25.440345,2020-02-14 11:12:25.440476
12,0.0076291561126708984,7.05718994140625e-05,0.009388446807861328,0.0001392364501953125,1581696745.440528,1581696745.448157,1581696745.4481614,1581696745.448232,1581696745.4482353,1581696745.4576237,1581696745.457628,1581696745.4577672,2020-02-14 11:12:25.440528,2020-02-14 11:12:25.448158,2020-02-14 11:12:25.448161,2020-02-14 11:12:25.448232,2020-02-14 11:12:25.448235,2020-02-14 11:12:25.457625,2020-02-14 11:12:25.457628,2020-02-14 11:12:25.457768
13,0.007642269134521484,6.866455078125e-05,0.009332418441772461,0.00013136863708496094,1581696745.4578185,1581696745.4654608,1581696745.465465,1581696745.4655337,1581696745.4655373,1581696745.4748697,1581696745.474874,1581696745.4750054,2020-02-14 11:12:25.457819,2020-02-14 11:12:25.465462,2020-02-14 11:12:25.465465,2020-02-14 11:12:25.465534,2020-02-14 11:12:25.465537,2020-02-14 11:12:25.474871,2020-02-14 11:12:25.474874,2020-02-14 11:12:25.475006
14,0.007638216018676758,7.700920104980469e-05,0.009300947189331055,0.00013065338134765625,1581696745.4750566,1581696745.4826949,1581696745.482699,1581696745.482776,1581696745.4827795,1581696745.4920805,1581696745.4920845,1581696745.4922152,2020-02-14 11:12:25.475057,2020-02-14 11:12:25.482696,2020-02-14 11:12:25.482699,2020-02-14 11:12:25.482776,2020-02-14 11:12:25.482779,2020-02-14 11:12:25.492081,2020-02-14 11:12:25.492084,2020-02-14 11:12:25.492216
15,0.007633686065673828,6.937980651855469e-05,0.009291648864746094,0.00013136863708496094,1581696745.492267,1581696745.4999006,1581696745.4999049,1581696745.4999743,1581696745.4999778,1581696745.5092695,1581696745.5092735,1581696745.509405,2020-02-14 11:12:25.492267,2020-02-14 11:12:25.499902,2020-02-14 11:12:25.499905,2020-02-14 11:12:25.499975,2020-02-14 11:12:25.499978,2020-02-14 11:12:25.509271,2020-02-14 11:12:25.509273,2020-02-14 11:12:25.509406
16,0.0076296329498291016,6.937980651855469e-05,0.009293317794799805,0.0001316070556640625,1581696745.509456,1581696745.5170856,1581696745.5170896,1581696745.517159,1581696745.5171626,1581696745.5264559,1581696745.52646,1581696745.5265915,2020-02-14 11:12:25.509456,2020-02-14 11:12:25.517087,2020-02-14 11:12:25.517089,2020-02-14 11:12:25.517159,2020-02-14 11:12:25.517162,2020-02-14 11:12:25.526457,2020-02-14 11:12:25.526460,2020-02-14 11:12:25.526592
17,0.007623910903930664,6.866455078125e-05,0.009298324584960938,0.00014352798461914062,1581696745.5266433,1581696745.5342672,1581696745.5342712,1581696745.53434,1581696745.5343435,1581696745.5436418,1581696745.5436459,1581696745.5437894,2020-02-14 11:12:25.526643,2020-02-14 11:12:25.534268,2020-02-14 11:12:25.534271,2020-02-14 11:12:25.534340,2020-02-14 11:12:25.534343,2020-02-14 11:12:25.543643,2020-02-14 11:12:25.543646,2020-02-14 11:12:25.543790
18,0.00762176513671875,7.104873657226562e-05,0.009320974349975586,0.00013113021850585938,1581696745.5438411,1581696745.551463,1581696745.551467,1581696745.551538,1581696745.5515416,1581696745.5608625,1581696745.5608664,1581696745.5609975,2020-02-14 11:12:25.543841,2020-02-14 11:12:25.551464,2020-02-14 11:12:25.551467,2020-02-14 11:12:25.551539,2020-02-14 11:12:25.551541,2020-02-14 11:12:25.560863,2020-02-14 11:12:25.560866,2020-02-14 11:12:25.560998
19,0.007628440856933594,7.748603820800781e-05,0.009278059005737305,0.00013065338134765625,1581696745.5610483,1581696745.5686767,1581696745.5686808,1581696745.5687582,1581696745.568762,1581696745.5780401,1581696745.5780442,1581696745.5781748,2020-02-14 11:12:25.561048,2020-02-14 11:12:25.568678,2020-02-14 11:12:25.568681,2020-02-14 11:12:25.568759,2020-02-14 11:12:25.568762,2020-02-14 11:12:25.578041,2020-02-14 11:12:25.578044,2020-02-14 11:12:25.578176
