split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
0,0.009392738342285156,8.96453857421875e-05,0.01489400863647461,0.0002377033233642578,1581696757.609131,1581696757.6185238,1581696757.6185286,1581696757.6186182,1581696757.6186242,1581696757.6335182,1581696757.6335225,1581696757.6337602,2020-02-14 11:12:37.609131,2020-02-14 11:12:37.618525,2020-02-14 11:12:37.618528,2020-02-14 11:12:37.618619,2020-02-14 11:12:37.618624,2020-02-14 11:12:37.633519,2020-02-14 11:12:37.633522,2020-02-14 11:12:37.633761
1,0.008465290069580078,7.653236389160156e-05,0.010619640350341797,0.00013375282287597656,1581696757.6338391,1581696757.6423044,1581696757.6423087,1581696757.6423852,1581696757.6423888,1581696757.6530085,1581696757.6530125,1581696757.6531463,2020-02-14 11:12:37.633839,2020-02-14 11:12:37.642306,2020-02-14 11:12:37.642308,2020-02-14 11:12:37.642386,2020-02-14 11:12:37.642389,2020-02-14 11:12:37.653009,2020-02-14 11:12:37.653012,2020-02-14 11:12:37.653147
2,0.008382320404052734,7.319450378417969e-05,0.010489463806152344,0.00012969970703125,1581696757.6532047,1581696757.661587,1581696757.6615913,1581696757.6616645,1581696757.661668,1581696757.6721575,1581696757.6721613,1581696757.672291,2020-02-14 11:12:37.653205,2020-02-14 11:12:37.661588,2020-02-14 11:12:37.661591,2020-02-14 11:12:37.661665,2020-02-14 11:12:37.661668,2020-02-14 11:12:37.672158,2020-02-14 11:12:37.672161,2020-02-14 11:12:37.672292
3,0.008394479751586914,7.2479248046875e-05,0.010413408279418945,0.00012922286987304688,1581696757.6723433,1581696757.6807377,1581696757.680742,1581696757.6808145,1581696757.680818,1581696757.6912315,1581696757.6912358,1581696757.691365,2020-02-14 11:12:37.672343,2020-02-14 11:12:37.680739,2020-02-14 11:12:37.680742,2020-02-14 11:12:37.680815,2020-02-14 11:12:37.680818,2020-02-14 11:12:37.691233,2020-02-14 11:12:37.691236,2020-02-14 11:12:37.691366
4,0.008317708969116211,7.462501525878906e-05,0.010564088821411133,0.00013184547424316406,1581696757.6914167,1581696757.6997344,1581696757.6997387,1581696757.6998134,1581696757.699817,1581696757.710381,1581696757.710385,1581696757.710517,2020-02-14 11:12:37.691417,2020-02-14 11:12:37.699736,2020-02-14 11:12:37.699738,2020-02-14 11:12:37.699814,2020-02-14 11:12:37.699817,2020-02-14 11:12:37.710382,2020-02-14 11:12:37.710385,2020-02-14 11:12:37.710518
5,0.008372783660888672,7.343292236328125e-05,0.010513067245483398,0.0001316070556640625,1581696757.7105677,1581696757.7189405,1581696757.7189448,1581696757.7190182,1581696757.7190216,1581696757.7295346,1581696757.7295392,1581696757.7296708,2020-02-14 11:12:37.710568,2020-02-14 11:12:37.718942,2020-02-14 11:12:37.718944,2020-02-14 11:12:37.719019,2020-02-14 11:12:37.719021,2020-02-14 11:12:37.729536,2020-02-14 11:12:37.729539,2020-02-14 11:12:37.729672
6,0.008928537368774414,8.153915405273438e-05,0.010594844818115234,0.00013208389282226562,1581696757.7297227,1581696757.7386513,1581696757.7386558,1581696757.7387373,1581696757.738741,1581696757.7493358,1581696757.7493398,1581696757.749472,2020-02-14 11:12:37.729723,2020-02-14 11:12:37.738653,2020-02-14 11:12:37.738655,2020-02-14 11:12:37.738738,2020-02-14 11:12:37.738741,2020-02-14 11:12:37.749337,2020-02-14 11:12:37.749340,2020-02-14 11:12:37.749473
7,0.008346319198608398,7.271766662597656e-05,0.010889053344726562,0.00012922286987304688,1581696757.7495239,1581696757.7578702,1581696757.7578743,1581696757.757947,1581696757.7579505,1581696757.7688396,1581696757.768844,1581696757.768973,2020-02-14 11:12:37.749524,2020-02-14 11:12:37.757871,2020-02-14 11:12:37.757874,2020-02-14 11:12:37.757947,2020-02-14 11:12:37.757950,2020-02-14 11:12:37.768841,2020-02-14 11:12:37.768844,2020-02-14 11:12:37.768974
8,0.008346319198608398,7.295608520507812e-05,0.027757644653320312,0.0002627372741699219,1581696757.7690244,1581696757.7773707,1581696757.7773747,1581696757.7774477,1581696757.7774513,1581696757.805209,1581696757.8052127,1581696757.8054755,2020-02-14 11:12:37.769024,2020-02-14 11:12:37.777372,2020-02-14 11:12:37.777375,2020-02-14 11:12:37.777448,2020-02-14 11:12:37.777451,2020-02-14 11:12:37.805210,2020-02-14 11:12:37.805212,2020-02-14 11:12:37.805477
9,0.008384466171264648,7.271766662597656e-05,0.0872647762298584,0.0003261566162109375,1581696757.8055315,1581696757.813916,1581696757.81392,1581696757.8139927,1581696757.8139966,1581696757.9012613,1581696757.9012656,1581696757.9015918,2020-02-14 11:12:37.805531,2020-02-14 11:12:37.813917,2020-02-14 11:12:37.813920,2020-02-14 11:12:37.813993,2020-02-14 11:12:37.813996,2020-02-14 11:12:37.901263,2020-02-14 11:12:37.901265,2020-02-14 11:12:37.901593
