split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
1,0.018697023391723633,0.004243135452270508,0,0,1581617690.377944,1581617690.396641,1581617690.3966513,1581617690.4008944,0,0,0,0,2020-02-13 13:14:50.377945,2020-02-13 13:14:50.396647,2020-02-13 13:14:50.396651,2020-02-13 13:14:50.400896,2020-02-13 13:14:50.377691,2020-02-13 13:14:50.377692,2020-02-13 13:14:50.377692,2020-02-13 13:14:50.377693
2,0.01251983642578125,7.176399230957031e-05,0.016270875930786133,0.004626035690307617,1581617690.421879,1581617690.434399,1581617690.4344037,1581617690.4344754,1581617690.4009733,1581617690.4172442,1581617690.4172487,1581617690.4218748,2020-02-13 13:14:50.421879,2020-02-13 13:14:50.434400,2020-02-13 13:14:50.434403,2020-02-13 13:14:50.434476,2020-02-13 13:14:50.400973,2020-02-13 13:14:50.417246,2020-02-13 13:14:50.417249,2020-02-13 13:14:50.421876
3,0.012511014938354492,6.937980651855469e-05,0.012303829193115234,0.00010752677917480469,1581617690.4469528,1581617690.4594638,1581617690.4594686,1581617690.459538,1581617690.4345334,1581617690.4468372,1581617690.446842,1581617690.4469495,2020-02-13 13:14:50.446952,2020-02-13 13:14:50.459465,2020-02-13 13:14:50.459468,2020-02-13 13:14:50.459538,2020-02-13 13:14:50.434533,2020-02-13 13:14:50.446839,2020-02-13 13:14:50.446842,2020-02-13 13:14:50.446950
4,0.013297080993652344,0.001115560531616211,0.011984825134277344,0.00010561943054199219,1581617690.4716895,1581617690.4849865,1581617690.4849913,1581617690.4861069,1581617690.4595907,1581617690.4715755,1581617690.4715803,1581617690.471686,2020-02-13 13:14:50.471689,2020-02-13 13:14:50.484988,2020-02-13 13:14:50.484991,2020-02-13 13:14:50.486108,2020-02-13 13:14:50.459591,2020-02-13 13:14:50.471577,2020-02-13 13:14:50.471580,2020-02-13 13:14:50.471687
5,0.012452840805053711,8.20159912109375e-05,0.011597156524658203,0.0001049041748046875,1581617690.4978695,1581617690.5103223,1581617690.5103269,1581617690.5104089,1581617690.4861596,1581617690.4977567,1581617690.4977612,1581617690.4978662,2020-02-13 13:14:50.497869,2020-02-13 13:14:50.510324,2020-02-13 13:14:50.510327,2020-02-13 13:14:50.510409,2020-02-13 13:14:50.486160,2020-02-13 13:14:50.497758,2020-02-13 13:14:50.497761,2020-02-13 13:14:50.497867
6,0.012855052947998047,6.842613220214844e-05,0.012699127197265625,0.00010609626770019531,1581617690.5232742,1581617690.5361292,1581617690.536134,1581617690.5362024,1581617690.510461,1581617690.5231602,1581617690.5231647,1581617690.5232708,2020-02-13 13:14:50.523274,2020-02-13 13:14:50.536131,2020-02-13 13:14:50.536134,2020-02-13 13:14:50.536203,2020-02-13 13:14:50.510461,2020-02-13 13:14:50.523161,2020-02-13 13:14:50.523164,2020-02-13 13:14:50.523272
7,0.01251530647277832,6.985664367675781e-05,0.011575937271118164,0.00010561943054199219,1581617690.5479448,1581617690.56046,1581617690.5604644,1581617690.5605342,1581617690.5362551,1581617690.547831,1581617690.5478356,1581617690.5479412,2020-02-13 13:14:50.547944,2020-02-13 13:14:50.560461,2020-02-13 13:14:50.560464,2020-02-13 13:14:50.560535,2020-02-13 13:14:50.536255,2020-02-13 13:14:50.547832,2020-02-13 13:14:50.547835,2020-02-13 13:14:50.547942
8,0.012527227401733398,6.866455078125e-05,0.012389898300170898,0.00010514259338378906,1581617690.573095,1581617690.5856223,1581617690.5856268,1581617690.5856955,1581617690.5605927,1581617690.5729825,1581617690.5729868,1581617690.573092,2020-02-13 13:14:50.573095,2020-02-13 13:14:50.585624,2020-02-13 13:14:50.585627,2020-02-13 13:14:50.585696,2020-02-13 13:14:50.560593,2020-02-13 13:14:50.572984,2020-02-13 13:14:50.572987,2020-02-13 13:14:50.573093
9,0.01248621940612793,0.0008087158203125,0.011593818664550781,0.00010418891906738281,1581617690.5974624,1581617690.6099486,1581617690.6099532,1581617690.610762,1581617690.5857563,1581617690.5973501,1581617690.5973547,1581617690.5974588,2020-02-13 13:14:50.597462,2020-02-13 13:14:50.609950,2020-02-13 13:14:50.609953,2020-02-13 13:14:50.610763,2020-02-13 13:14:50.585756,2020-02-13 13:14:50.597351,2020-02-13 13:14:50.597354,2020-02-13 13:14:50.597460
10,0.01317739486694336,6.985664367675781e-05,0.011655092239379883,0.00010633468627929688,1581617690.6225839,1581617690.6357613,1581617690.6357656,1581617690.6358354,1581617690.6108148,1581617690.62247,1581617690.6224742,1581617690.6225805,2020-02-13 13:14:50.622584,2020-02-13 13:14:50.635762,2020-02-13 13:14:50.635765,2020-02-13 13:14:50.635836,2020-02-13 13:14:50.610815,2020-02-13 13:14:50.622471,2020-02-13 13:14:50.622474,2020-02-13 13:14:50.622581
