split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
0,0.008551359176635742,8.678436279296875e-05,0.009994983673095703,0.00022149085998535156,1581696749.8738763,1581696749.8824277,1581696749.882432,1581696749.8825188,1581696749.882524,1581696749.892519,1581696749.8925233,1581696749.8927448,2020-02-14 11:12:29.873876,2020-02-14 11:12:29.882429,2020-02-14 11:12:29.882432,2020-02-14 11:12:29.882519,2020-02-14 11:12:29.882523,2020-02-14 11:12:29.892520,2020-02-14 11:12:29.892523,2020-02-14 11:12:29.892745
1,0.007792949676513672,7.271766662597656e-05,0.009434938430786133,0.00013494491577148438,1581696749.8928244,1581696749.9006174,1581696749.9006217,1581696749.9006944,1581696749.900698,1581696749.910133,1581696749.910137,1581696749.910272,2020-02-14 11:12:29.892824,2020-02-14 11:12:29.900618,2020-02-14 11:12:29.900621,2020-02-14 11:12:29.900695,2020-02-14 11:12:29.900698,2020-02-14 11:12:29.910134,2020-02-14 11:12:29.910137,2020-02-14 11:12:29.910273
2,0.007743120193481445,7.104873657226562e-05,0.009429454803466797,0.0001308917999267578,1581696749.9103248,1581696749.918068,1581696749.9180722,1581696749.9181433,1581696749.9181466,1581696749.927576,1581696749.92758,1581696749.927711,2020-02-14 11:12:29.910325,2020-02-14 11:12:29.918069,2020-02-14 11:12:29.918072,2020-02-14 11:12:29.918144,2020-02-14 11:12:29.918146,2020-02-14 11:12:29.927577,2020-02-14 11:12:29.927580,2020-02-14 11:12:29.927712
3,0.007723093032836914,7.104873657226562e-05,0.009357452392578125,0.00012993812561035156,1581696749.9277685,1581696749.9354916,1581696749.9354959,1581696749.935567,1581696749.9355705,1581696749.944928,1581696749.944932,1581696749.945062,2020-02-14 11:12:29.927769,2020-02-14 11:12:29.935493,2020-02-14 11:12:29.935496,2020-02-14 11:12:29.935567,2020-02-14 11:12:29.935570,2020-02-14 11:12:29.944929,2020-02-14 11:12:29.944932,2020-02-14 11:12:29.945063
4,0.007700920104980469,7.224082946777344e-05,0.009430170059204102,0.00013208389282226562,1581696749.9451125,1581696749.9528134,1581696749.9528174,1581696749.9528897,1581696749.952893,1581696749.9623232,1581696749.9623272,1581696749.9624593,2020-02-14 11:12:29.945112,2020-02-14 11:12:29.952814,2020-02-14 11:12:29.952817,2020-02-14 11:12:29.952890,2020-02-14 11:12:29.952893,2020-02-14 11:12:29.962324,2020-02-14 11:12:29.962327,2020-02-14 11:12:29.962460
5,0.007733345031738281,7.009506225585938e-05,0.009412765502929688,0.0001354217529296875,1581696749.9625103,1581696749.9702437,1581696749.970248,1581696749.970318,1581696749.9703217,1581696749.9797344,1581696749.9797387,1581696749.9798741,2020-02-14 11:12:29.962510,2020-02-14 11:12:29.970245,2020-02-14 11:12:29.970248,2020-02-14 11:12:29.970319,2020-02-14 11:12:29.970321,2020-02-14 11:12:29.979736,2020-02-14 11:12:29.979738,2020-02-14 11:12:29.979875
6,0.007782936096191406,7.200241088867188e-05,0.009477615356445312,0.00013208389282226562,1581696749.9800553,1581696749.9878383,1581696749.9878423,1581696749.9879143,1581696749.987918,1581696749.9973955,1581696749.9973996,1581696749.9975317,2020-02-14 11:12:29.980056,2020-02-14 11:12:29.987839,2020-02-14 11:12:29.987842,2020-02-14 11:12:29.987915,2020-02-14 11:12:29.987917,2020-02-14 11:12:29.997396,2020-02-14 11:12:29.997399,2020-02-14 11:12:29.997532
7,0.007734775543212891,7.152557373046875e-05,0.009469270706176758,0.0001316070556640625,1581696749.9975834,1581696750.0053182,1581696750.0053222,1581696750.0053937,1581696750.005397,1581696750.0148664,1581696750.0148706,1581696750.0150023,2020-02-14 11:12:29.997583,2020-02-14 11:12:30.005319,2020-02-14 11:12:30.005322,2020-02-14 11:12:30.005394,2020-02-14 11:12:30.005397,2020-02-14 11:12:30.014868,2020-02-14 11:12:30.014870,2020-02-14 11:12:30.015003
8,0.0077250003814697266,7.200241088867188e-05,0.009382963180541992,0.0001323223114013672,1581696750.0150547,1581696750.0227797,1581696750.022784,1581696750.022856,1581696750.0228596,1581696750.0322425,1581696750.0322466,1581696750.032379,2020-02-14 11:12:30.015055,2020-02-14 11:12:30.022781,2020-02-14 11:12:30.022784,2020-02-14 11:12:30.022856,2020-02-14 11:12:30.022859,2020-02-14 11:12:30.032244,2020-02-14 11:12:30.032246,2020-02-14 11:12:30.032380
9,0.01052713394165039,0.0005323886871337891,0.011342525482177734,0.0002524852752685547,1581696750.032431,1581696750.042958,1581696750.0429714,1581696750.0435038,1581696750.0435073,1581696750.0548499,1581696750.0548542,1581696750.0551066,2020-02-14 11:12:30.032431,2020-02-14 11:12:30.042959,2020-02-14 11:12:30.042971,2020-02-14 11:12:30.043504,2020-02-14 11:12:30.043507,2020-02-14 11:12:30.054851,2020-02-14 11:12:30.054854,2020-02-14 11:12:30.055108
10,0.00850820541381836,9.1552734375e-05,0.00957942008972168,0.00013065338134765625,1581696750.055178,1581696750.0636861,1581696750.0636904,1581696750.063782,1581696750.0637858,1581696750.0733652,1581696750.0733695,1581696750.0735002,2020-02-14 11:12:30.055178,2020-02-14 11:12:30.063687,2020-02-14 11:12:30.063690,2020-02-14 11:12:30.063782,2020-02-14 11:12:30.063785,2020-02-14 11:12:30.073366,2020-02-14 11:12:30.073369,2020-02-14 11:12:30.073501
11,0.00788116455078125,8.249282836914062e-05,0.00956583023071289,0.0001342296600341797,1581696750.073551,1581696750.081432,1581696750.0814364,1581696750.081519,1581696750.0815227,1581696750.0910885,1581696750.0910928,1581696750.091227,2020-02-14 11:12:30.073551,2020-02-14 11:12:30.081433,2020-02-14 11:12:30.081436,2020-02-14 11:12:30.081519,2020-02-14 11:12:30.081522,2020-02-14 11:12:30.091090,2020-02-14 11:12:30.091093,2020-02-14 11:12:30.091228
12,0.007863998413085938,7.128715515136719e-05,0.009528398513793945,0.0001316070556640625,1581696750.0912793,1581696750.0991433,1581696750.0991476,1581696750.0992188,1581696750.0992224,1581696750.1087508,1581696750.108755,1581696750.1088867,2020-02-14 11:12:30.091279,2020-02-14 11:12:30.099144,2020-02-14 11:12:30.099147,2020-02-14 11:12:30.099220,2020-02-14 11:12:30.099222,2020-02-14 11:12:30.108752,2020-02-14 11:12:30.108755,2020-02-14 11:12:30.108888
13,0.007862091064453125,7.033348083496094e-05,0.009614944458007812,0.000141143798828125,1581696750.1089382,1581696750.1168003,1581696750.1168044,1581696750.1168747,1581696750.116878,1581696750.126493,1581696750.126497,1581696750.1266382,2020-02-14 11:12:30.108938,2020-02-14 11:12:30.116801,2020-02-14 11:12:30.116804,2020-02-14 11:12:30.116875,2020-02-14 11:12:30.116878,2020-02-14 11:12:30.126494,2020-02-14 11:12:30.126497,2020-02-14 11:12:30.126639
14,0.007799863815307617,6.914138793945312e-05,0.00959467887878418,0.0001304149627685547,1581696750.1266892,1581696750.134489,1581696750.134493,1581696750.1345623,1581696750.1345656,1581696750.1441603,1581696750.1441646,1581696750.144295,2020-02-14 11:12:30.126689,2020-02-14 11:12:30.134490,2020-02-14 11:12:30.134493,2020-02-14 11:12:30.134563,2020-02-14 11:12:30.134565,2020-02-14 11:12:30.144162,2020-02-14 11:12:30.144164,2020-02-14 11:12:30.144296
15,0.007846355438232422,6.914138793945312e-05,0.009523868560791016,0.00013113021850585938,1581696750.1443465,1581696750.1521928,1581696750.152197,1581696750.152266,1581696750.1522696,1581696750.1617935,1581696750.161798,1581696750.1619291,2020-02-14 11:12:30.144346,2020-02-14 11:12:30.152194,2020-02-14 11:12:30.152197,2020-02-14 11:12:30.152267,2020-02-14 11:12:30.152269,2020-02-14 11:12:30.161795,2020-02-14 11:12:30.161798,2020-02-14 11:12:30.161930
16,0.007757425308227539,7.05718994140625e-05,0.009433984756469727,0.00013136863708496094,1581696750.1619809,1581696750.1697383,1581696750.1697423,1581696750.169813,1581696750.1698165,1581696750.1792505,1581696750.1792545,1581696750.179386,2020-02-14 11:12:30.161981,2020-02-14 11:12:30.169739,2020-02-14 11:12:30.169742,2020-02-14 11:12:30.169814,2020-02-14 11:12:30.169816,2020-02-14 11:12:30.179251,2020-02-14 11:12:30.179254,2020-02-14 11:12:30.179387
17,0.007733345031738281,7.009506225585938e-05,0.009507894515991211,0.0001308917999267578,1581696750.1794376,1581696750.187171,1581696750.1871753,1581696750.1872454,1581696750.187249,1581696750.1967568,1581696750.1967611,1581696750.196892,2020-02-14 11:12:30.179438,2020-02-14 11:12:30.187172,2020-02-14 11:12:30.187175,2020-02-14 11:12:30.187246,2020-02-14 11:12:30.187249,2020-02-14 11:12:30.196758,2020-02-14 11:12:30.196761,2020-02-14 11:12:30.196893
18,0.007719993591308594,7.748603820800781e-05,0.009409904479980469,0.0001316070556640625,1581696750.1969438,1581696750.2046638,1581696750.204668,1581696750.2047455,1581696750.2047493,1581696750.2141593,1581696750.2141635,1581696750.2142951,2020-02-14 11:12:30.196944,2020-02-14 11:12:30.204665,2020-02-14 11:12:30.204668,2020-02-14 11:12:30.204746,2020-02-14 11:12:30.204749,2020-02-14 11:12:30.214160,2020-02-14 11:12:30.214163,2020-02-14 11:12:30.214296
19,0.007692813873291016,6.890296936035156e-05,0.009441614151000977,0.00012993812561035156,1581696750.2143474,1581696750.2220402,1581696750.2220442,1581696750.2221131,1581696750.2221165,1581696750.231558,1581696750.2315621,1581696750.231692,2020-02-14 11:12:30.214347,2020-02-14 11:12:30.222041,2020-02-14 11:12:30.222044,2020-02-14 11:12:30.222113,2020-02-14 11:12:30.222116,2020-02-14 11:12:30.231559,2020-02-14 11:12:30.231562,2020-02-14 11:12:30.231693
20,0.010804176330566406,7.343292236328125e-05,0.009520769119262695,0.0001316070556640625,1581696750.231751,1581696750.2425551,1581696750.2425594,1581696750.2426329,1581696750.2426364,1581696750.2521572,1581696750.2521613,1581696750.2522929,2020-02-14 11:12:30.231751,2020-02-14 11:12:30.242556,2020-02-14 11:12:30.242559,2020-02-14 11:12:30.242634,2020-02-14 11:12:30.242636,2020-02-14 11:12:30.252158,2020-02-14 11:12:30.252161,2020-02-14 11:12:30.252294
21,0.011983633041381836,6.985664367675781e-05,0.009463787078857422,0.00013136863708496094,1581696750.2523448,1581696750.2643285,1581696750.2643328,1581696750.2644026,1581696750.2644064,1581696750.2738702,1581696750.2738743,1581696750.2740057,2020-02-14 11:12:30.252345,2020-02-14 11:12:30.264330,2020-02-14 11:12:30.264333,2020-02-14 11:12:30.264403,2020-02-14 11:12:30.264406,2020-02-14 11:12:30.273871,2020-02-14 11:12:30.273874,2020-02-14 11:12:30.274007
22,0.01126241683959961,6.937980651855469e-05,0.009418487548828125,0.00013303756713867188,1581696750.2740576,1581696750.28532,1581696750.285324,1581696750.2853935,1581696750.285397,1581696750.2948155,1581696750.2948196,1581696750.2949526,2020-02-14 11:12:30.274058,2020-02-14 11:12:30.285321,2020-02-14 11:12:30.285324,2020-02-14 11:12:30.285394,2020-02-14 11:12:30.285397,2020-02-14 11:12:30.294817,2020-02-14 11:12:30.294819,2020-02-14 11:12:30.294954
24,0.012228965759277344,6.914138793945312e-05,0.009421348571777344,0.00013494491577148438,1581696750.2950044,1581696750.3072333,1581696750.3072376,1581696750.3073068,1581696750.3073242,1581696750.3167455,1581696750.316747,1581696750.316882,2020-02-14 11:12:30.295005,2020-02-14 11:12:30.307234,2020-02-14 11:12:30.307237,2020-02-14 11:12:30.307307,2020-02-14 11:12:30.316742,2020-02-14 11:12:30.316745,2020-02-14 11:12:30.316747,2020-02-14 11:12:30.316883
