0,0.009613275527954102,9.34600830078125e-05,0.01512289047241211,0.00017309188842773438,1581696767.5481062,1581696767.5577195,1581696767.557725,1581696767.5578184,1581696767.5578237,1581696767.5729465,1581696767.5729513,1581696767.5731244,2020-02-14 11:12:47.548106,2020-02-14 11:12:47.557721,2020-02-14 11:12:47.557725,2020-02-14 11:12:47.557819,2020-02-14 11:12:47.557824,2020-02-14 11:12:47.572948,2020-02-14 11:12:47.572951,2020-02-14 11:12:47.573125
1,0.009076833724975586,7.987022399902344e-05,0.010515689849853516,0.000133514404296875,1581696767.573197,1581696767.5822737,1581696767.5822783,1581696767.5823581,1581696767.5823615,1581696767.5928771,1581696767.5928812,1581696767.5930147,2020-02-14 11:12:47.573197,2020-02-14 11:12:47.582275,2020-02-14 11:12:47.582278,2020-02-14 11:12:47.582359,2020-02-14 11:12:47.582361,2020-02-14 11:12:47.592878,2020-02-14 11:12:47.592881,2020-02-14 11:12:47.593016
2,0.00898289680480957,7.414817810058594e-05,0.010553359985351562,0.0001404285430908203,1581696767.5930665,1581696767.6020494,1581696767.6020534,1581696767.6021276,1581696767.6021311,1581696767.6126845,1581696767.6126885,1581696767.612829,2020-02-14 11:12:47.593067,2020-02-14 11:12:47.602050,2020-02-14 11:12:47.602053,2020-02-14 11:12:47.602128,2020-02-14 11:12:47.602131,2020-02-14 11:12:47.612686,2020-02-14 11:12:47.612688,2020-02-14 11:12:47.612830
3,0.008986711502075195,7.843971252441406e-05,0.010477781295776367,0.0001289844512939453,1581696767.6128817,1581696767.6218684,1581696767.6218724,1581696767.6219509,1581696767.6219544,1581696767.6324322,1581696767.6324363,1581696767.6325653,2020-02-14 11:12:47.612882,2020-02-14 11:12:47.621869,2020-02-14 11:12:47.621872,2020-02-14 11:12:47.621952,2020-02-14 11:12:47.621954,2020-02-14 11:12:47.632433,2020-02-14 11:12:47.632436,2020-02-14 11:12:47.632566
4,0.00888371467590332,7.390975952148438e-05,0.010550498962402344,0.00013113021850585938,1581696767.6326168,1581696767.6415005,1581696767.6415045,1581696767.6415784,1581696767.641582,1581696767.6521325,1581696767.6521368,1581696767.652268,2020-02-14 11:12:47.632617,2020-02-14 11:12:47.641502,2020-02-14 11:12:47.641504,2020-02-14 11:12:47.641579,2020-02-14 11:12:47.641582,2020-02-14 11:12:47.652134,2020-02-14 11:12:47.652137,2020-02-14 11:12:47.652269
5,0.009078025817871094,7.295608520507812e-05,0.010600090026855469,0.00012922286987304688,1581696767.6523197,1581696767.6613977,1581696767.6614022,1581696767.6614752,1581696767.6614783,1581696767.6720784,1581696767.6720824,1581696767.6722116,2020-02-14 11:12:47.652320,2020-02-14 11:12:47.661399,2020-02-14 11:12:47.661402,2020-02-14 11:12:47.661475,2020-02-14 11:12:47.661478,2020-02-14 11:12:47.672080,2020-02-14 11:12:47.672082,2020-02-14 11:12:47.672213
6,0.00953817367553711,7.343292236328125e-05,0.010527849197387695,0.0001316070556640625,1581696767.6722634,1581696767.6818016,1581696767.6818058,1581696767.6818793,1581696767.6818826,1581696767.6924105,1581696767.6924145,1581696767.6925461,2020-02-14 11:12:47.672263,2020-02-14 11:12:47.681803,2020-02-14 11:12:47.681806,2020-02-14 11:12:47.681880,2020-02-14 11:12:47.681882,2020-02-14 11:12:47.692411,2020-02-14 11:12:47.692414,2020-02-14 11:12:47.692547
7,0.008948802947998047,7.152557373046875e-05,0.010509729385375977,0.00012993812561035156,1581696767.6925979,1581696767.7015467,1581696767.701551,1581696767.7016225,1581696767.701626,1581696767.7121358,1581696767.7121398,1581696767.7122698,2020-02-14 11:12:47.692598,2020-02-14 11:12:47.701548,2020-02-14 11:12:47.701551,2020-02-14 11:12:47.701623,2020-02-14 11:12:47.701626,2020-02-14 11:12:47.712137,2020-02-14 11:12:47.712140,2020-02-14 11:12:47.712271
8,0.008970975875854492,7.200241088867188e-05,0.034250497817993164,0.00023055076599121094,1581696767.7123213,1581696767.7212923,1581696767.7212963,1581696767.7213683,1581696767.721372,1581696767.7556224,1581696767.7556264,1581696767.755857,2020-02-14 11:12:47.712321,2020-02-14 11:12:47.721293,2020-02-14 11:12:47.721296,2020-02-14 11:12:47.721369,2020-02-14 11:12:47.721372,2020-02-14 11:12:47.755624,2020-02-14 11:12:47.755626,2020-02-14 11:12:47.755858
10,0.01159977912902832,7.200241088867188e-05,0.0884702205657959,0.0002434253692626953,1581696767.7560482,1581696767.767648,1581696767.767652,1581696767.767724,1581696767.7677376,1581696767.8562078,1581696767.8562098,1581696767.8564532,2020-02-14 11:12:47.756049,2020-02-14 11:12:47.767649,2020-02-14 11:12:47.767652,2020-02-14 11:12:47.767724,2020-02-14 11:12:47.856205,2020-02-14 11:12:47.856208,2020-02-14 11:12:47.856209,2020-02-14 11:12:47.856454
