split_id,forward_time,copy_time,backward_time,optimization_time
1,3.1580426692962646,0.00020551681518554688,2.090583324432373,0.0042018890380859375 
1,2.123143434524536,0.004105806350708008,1.7090120315551758,0.0033996105194091797 
1,2.107391119003296,0.00018024444580078125,1.7144691944122314,0.003490924835205078 
2,5.016752243041992,0.759509801864624,1.353677749633789,0.00587773323059082 
2,5.069631814956665,0.7607285976409912,1.3374700546264648,0.0030279159545898438 
2,5.054537534713745,0.758770227432251,1.3366279602050781,0.003159046173095703 
3,3.1492648124694824,0.7684760093688965,0.9513964653015137,0.0028929710388183594 
3,3.1748034954071045,0.7651140689849854,0.9611999988555908,0.0029363632202148438 
3,3.161879539489746,0.7740848064422607,0.9749910831451416,0.004127025604248047 
4,0.5244245529174805,0.004994630813598633,0.7463810443878174,0.0034520626068115234 
4,0.5751564502716064,0.0022499561309814453,0.7616181373596191,0.006152629852294922 
4,1.0887963771820068,0.002287149429321289,0.7758378982543945,0.006075859069824219 
5,0.7973825931549072,0.0009200572967529297,0.6585776805877686,0.007057905197143555 
5,0.7853903770446777,0.0016930103302001953,0.6688368320465088,0.005916118621826172 
5,0.7845938205718994,0.0016107559204101562,0.6608896255493164,0.006228446960449219 
6,0.36159610748291016,0.0054857730865478516,0.5716419219970703,0.003154754638671875 
6,0.4441385269165039,0.00558018684387207,0.5825560092926025,0.006333112716674805 
6,0.42513418197631836,0.0056035518646240234,0.5869653224945068,0.003233671188354492 
8,0.8421945571899414,0.7027583122253418,0.4716770648956299,0.00820302963256836 
8,0.9007108211517334,0.7231135368347168,0.48693132400512695,0.008899450302124023 
8,0.9007041454315186,0.7120828628540039,0.48953890800476074,0.008977174758911133 
10,0.25189208984375,0.008417129516601562,0.42326974868774414,0.008918523788452148 
10,0.3393523693084717,0.014547586441040039,0.43082284927368164,0.010137557983398438 
10,0.3421213626861572,0.012721776962280273,0.43907809257507324,0.010055065155029297 
12,0.3097405433654785,0.765772819519043,0.4127824306488037,0.009553909301757812 
12,0.36437034606933594,0.7692229747772217,0.4171161651611328,0.013689041137695312 
12,0.4248931407928467,0.7716760635375977,0.40910887718200684,0.012445449829101562 
15,0.17405009269714355,0.7118477821350098,0.3369410037994385,0.013901472091674805 
15,0.3098454475402832,0.7178637981414795,0.3540499210357666,0.004760265350341797 
15,0.28456687927246094,0.7120254039764404,0.34277987480163574,0.014501094818115234 
20,0.12687015533447266,0.5707430839538574,0.25244688987731934,0.016287565231323242 
20,0.3056933879852295,0.575875997543335,0.2669236660003662,0.018814802169799805 
20,0.3073551654815674,0.5765519142150879,0.26294898986816406,0.019296884536743164 

